CODIGO_OBRA,emp_n_empresas,emp_n_vinculos,emp_n_contrapartes_unicas,emp_n_ganadores,emp_n_participantes,emp_riesgo_max,emp_riesgo_mean,emp_riesgo_std,emp_pct_alto_riesgo,emp_score_proxy_mean,emp_score_proxy_max,emp_ratio_ganador_mean,emp_ratio_participante_mean,emp_intensidad_red_mean,emp_efectividad_ganador_mean,emp_ratio_ganadores_vinculos,emp_ratio_participantes_vinculos
102021,3,6,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.09814814814814815,9.333333333333334,0.0,0.0,0.0
102022,1,1,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.1111111111111111,8.0,0.0,0.0,0.0
102591,4,8,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.14285714285714285,6.0,0.0,0.0,0.0
105591,1,2,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.16666666666666666,5.0,0.0,0.0,0.0
105653,2,2,0,0,0,3,2.0,1.4142135623730951,0.5,2.0,3,0.0,0.15555555555555556,6.0,0.0,0.0,0.0
106748,3,5,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.11499999999999999,7.8,0.0,0.0,0.0
108912,3,5,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.1619047619047619,5.2,0.0,0.0,0.0
108914,7,14,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.15136054421768708,5.714285714285714,0.0,0.0,0.0
108916,4,8,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.1423611111111111,6.25,0.0,0.0,0.0
108917,4,7,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.16326530612244897,5.142857142857143,0.0,0.0,0.0
109529,1,1,0,0,0,1,1.0,0.0,0.0,1.0,1,0.0,0.2,4.0,0.0,0.0,0.0
111086,4,8,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.12291666666666667,7.5,0.0,0.0,0.0
111275,3,6,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.1259259259259259,7.333333333333333,0.0,0.0,0.0
111277,1,2,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.16666666666666666,5.0,0.0,0.0,0.0
114078,6,12,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.14583333333333334,6.0,0.0,0.0,0.0
114812,2,4,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.14583333333333331,6.0,0.0,0.0,0.0
115003,2,3,0,0,0,3,2.3333333333333335,1.1547005383792515,0.6666666666666666,2.3333333333333335,3,0.0,0.15,6.0,0.0,0.0,0.0
115008,2,4,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.125,7.0,0.0,0.0,0.0
115016,2,4,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.125,8.0,0.0,0.0,0.0
115823,3,6,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.10277777777777779,9.0,0.0,0.0,0.0
116356,4,6,0,0,0,3,2.6666666666666665,0.816496580927726,0.8333333333333334,2.6666666666666665,3,0.0,0.16296296296296295,5.333333333333333,0.0,0.0,0.0
118093,4,8,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.13988095238095238,6.75,0.0,0.0,0.0
119151,1,1,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.14285714285714285,6.0,0.0,0.0,0.0
119167,2,4,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.09401709401709402,10.0,0.0,0.0,0.0
119177,2,4,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.09401709401709402,10.0,0.0,0.0,0.0
121881,3,5,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.125,7.8,0.0,0.0,0.0
122362,1,1,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.14285714285714285,6.0,0.0,0.0,0.0
12346,1,1,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.125,7.0,0.0,0.0,0.0
124333,2,3,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.13888888888888887,7.0,0.0,0.0,0.0
126276,4,6,0,0,0,3,2.6666666666666665,0.816496580927726,0.8333333333333334,2.6666666666666665,3,0.0,0.16825396825396824,5.0,0.0,0.0,0.0
126277,3,5,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.09666666666666666,9.4,0.0,0.0,0.0
126280,3,3,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.1402116402116402,6.333333333333333,0.0,0.0,0.0
127408,1,2,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.0625,15.0,0.0,0.0,0.0
127427,1,2,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.0625,15.0,0.0,0.0,0.0
127558,3,6,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.13425925925925927,6.666666666666667,0.0,0.0,0.0
127708,1,2,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.125,7.0,0.0,0.0,0.0
128472,1,2,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.125,7.0,0.0,0.0,0.0
129252,3,5,0,0,0,3,2.6,0.8944271909999159,0.8,2.6,3,0.0,0.13,7.2,0.0,0.0,0.0
129257,7,14,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.141156462585034,6.714285714285714,0.0,0.0,0.0
129392,7,14,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.1369047619047619,6.428571428571429,0.0,0.0,0.0
129393,3,6,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.15277777777777776,5.666666666666667,0.0,0.0,0.0
129613,2,4,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.14583333333333331,6.0,0.0,0.0,0.0
129614,2,2,0,0,0,3,2.0,1.4142135623730951,0.5,2.0,3,0.0,0.15555555555555556,6.0,0.0,0.0,0.0
130180,4,8,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.16666666666666666,5.0,0.0,0.0,0.0
130338,1,1,0,0,0,1,1.0,0.0,0.0,1.0,1,0.0,0.2,4.0,0.0,0.0,0.0
130452,6,12,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.13194444444444445,6.666666666666667,0.0,0.0,0.0
130759,8,15,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.14074074074074075,6.266666666666667,0.0,0.0,0.0
130764,2,4,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.16666666666666666,5.0,0.0,0.0,0.0
130851,2,2,0,0,0,3,2.0,1.4142135623730951,0.5,2.0,3,0.0,0.17142857142857143,5.0,0.0,0.0,0.0
130909,2,4,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.125,7.0,0.0,0.0,0.0
131498,3,6,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.13888888888888887,6.333333333333333,0.0,0.0,0.0
131543,6,12,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.13888888888888887,6.333333333333333,0.0,0.0,0.0
131605,2,4,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.16666666666666666,5.0,0.0,0.0,0.0
132111,2,4,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.11805555555555555,7.5,0.0,0.0,0.0
132120,1,2,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.125,7.0,0.0,0.0,0.0
133488,3,5,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.1619047619047619,5.2,0.0,0.0,0.0
133753,2,4,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.08571428571428572,11.0,0.0,0.0,0.0
133755,2,4,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.1125,8.0,0.0,0.0,0.0
133756,2,4,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.08571428571428572,11.0,0.0,0.0,0.0
133911,1,2,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.0625,15.0,0.0,0.0,0.0
134497,6,12,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.1574074074074074,5.5,0.0,0.0,0.0
134953,1,2,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.16666666666666666,5.0,0.0,0.0,0.0
135093,4,8,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.11744505494505494,8.5,0.0,0.0,0.0
135454,3,6,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.15277777777777776,5.666666666666667,0.0,0.0,0.0
137209,2,3,0,0,0,3,2.3333333333333335,1.1547005383792515,0.6666666666666666,2.3333333333333335,3,0.0,0.17777777777777778,4.666666666666667,0.0,0.0,0.0
137213,1,2,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.16666666666666666,5.0,0.0,0.0,0.0
138320,3,6,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.13888888888888887,7.0,0.0,0.0,0.0
138910,2,4,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.16666666666666666,5.0,0.0,0.0,0.0
138923,2,4,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.125,7.0,0.0,0.0,0.0
138963,1,2,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.16666666666666666,5.0,0.0,0.0,0.0
138996,1,1,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.14285714285714285,6.0,0.0,0.0,0.0
138999,1,1,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.08333333333333333,11.0,0.0,0.0,0.0
139004,2,4,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.07291666666666666,13.0,0.0,0.0,0.0
139063,1,1,0,0,0,1,1.0,0.0,0.0,1.0,1,0.0,0.2,4.0,0.0,0.0,0.0
139381,2,4,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.125,7.0,0.0,0.0,0.0
140616,3,4,0,0,0,3,2.0,1.1547005383792515,0.5,2.0,3,0.0,0.18333333333333335,4.5,0.0,0.0,0.0
140660,2,3,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.12222222222222223,7.666666666666667,0.0,0.0,0.0
141090,3,5,0,0,0,3,2.6,0.8944271909999159,0.8,2.6,3,0.0,0.13999999999999999,6.4,0.0,0.0,0.0
141091,2,3,0,0,0,3,2.3333333333333335,1.1547005383792515,0.6666666666666666,2.3333333333333335,3,0.0,0.15,6.0,0.0,0.0,0.0
141092,2,3,0,0,0,3,2.3333333333333335,1.1547005383792515,0.6666666666666666,2.3333333333333335,3,0.0,0.15,6.0,0.0,0.0,0.0
141093,3,5,0,0,0,3,2.6,0.8944271909999159,0.8,2.6,3,0.0,0.17333333333333334,4.8,0.0,0.0,0.0
141094,2,4,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.16666666666666666,5.0,0.0,0.0,0.0
141104,3,6,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.15873015873015872,5.333333333333333,0.0,0.0,0.0
141153,11,20,0,0,0,3,2.9,0.44721359549995787,0.95,2.9,3,0.0,0.16833333333333333,4.95,0.0,0.0,0.0
141280,1,2,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.125,7.0,0.0,0.0,0.0
141282,1,2,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.125,7.0,0.0,0.0,0.0
141923,1,1,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.09090909090909091,10.0,0.0,0.0,0.0
141926,1,2,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.07142857142857142,13.0,0.0,0.0,0.0
141927,1,2,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.07142857142857142,13.0,0.0,0.0,0.0
142752,3,3,0,0,0,3,1.6666666666666667,1.1547005383792517,0.3333333333333333,1.6666666666666667,3,0.0,0.18888888888888888,4.333333333333333,0.0,0.0,0.0
142784,2,4,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.16666666666666666,5.0,0.0,0.0,0.0
142811,1,2,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.125,7.0,0.0,0.0,0.0
142821,1,2,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.07142857142857142,13.0,0.0,0.0,0.0
