CODIGO_RUC,NOMBRE_EMPRESA_ROL,RUC_CONTRAPARTE,NOMBRE_CONTRAPARTE,rol_empresa,nombre_empresa_1a,n_obras_asociadas_1a,n_registros_1a,es_consorcio,flag_sancionadas_tce,flag_inhabilitadas_pj,flag_sancionadas_rnp,flag_inhabilitadas_rnp,flag_impedidas_rnp,nombre_empresa_2a,capacidad_maxima_contratacion,capacidad_libre_contratacion,estado_empresa,condicion_empresa,numero_sanciones_tce,numero_sanciones_rnp,flag_fecha_constitucion_alerta,flag_ley_selva_alerta,flag_accionistas_alerta,n_obras_representante,n_representantes_legales,representante_legal_principal,NOMBRE_EMPRESA,risk_score_proxy,y_riesgo_empresa_4niveles,n_vinculos_total,n_contrapartes_unicas,n_veces_ganador,n_veces_participante,ratio_ganador,ratio_participante,n_registros_hora_oferta,n_horas_oferta_distintas,hora_oferta_moda,target_disponible
20100913225,JNR CONSULTORES SOCIEDAD ANONIMA,20552088167,CONSORCIO CPS -ATJ,ganador,JNR CONSULTORES SOCIEDAD ANONIMA,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,JNR CONSULTORES SOCIEDAD ANONIMA,,0.0,ACTIVO,HABIDO,0.0,0.0,0.0,0.0,1.0,1.0,3.0,NORIEGA ROMERO ROXANA GUADALUPE,JNR CONSULTORES SOCIEDAD ANONIMA,4.0,2.0,15.0,13.0,13.0,2.0,0.8666666666666667,0.13333333333333333,1.0,1.0,10:00,1
20100913225,JNR CONSULTORES SOCIEDAD ANONIMA,20557662155,CARLOS FERNANDEZ CASADO S.L. SUCURSAL DEL PERU,ganador,JNR CONSULTORES SOCIEDAD ANONIMA,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,JNR CONSULTORES SOCIEDAD ANONIMA,,0.0,ACTIVO,HABIDO,0.0,0.0,0.0,0.0,1.0,1.0,3.0,NORIEGA ROMERO ROXANA GUADALUPE,JNR CONSULTORES SOCIEDAD ANONIMA,4.0,2.0,15.0,13.0,13.0,2.0,0.8666666666666667,0.13333333333333333,1.0,1.0,10:00,1
20100913225,JNR CONSULTORES SOCIEDAD ANONIMA,99000004819,A.C.I. PROYECTOS S.A.S(*),ganador,JNR CONSULTORES SOCIEDAD ANONIMA,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,JNR CONSULTORES SOCIEDAD ANONIMA,,0.0,ACTIVO,HABIDO,0.0,0.0,0.0,0.0,1.0,1.0,3.0,NORIEGA ROMERO ROXANA GUADALUPE,JNR CONSULTORES SOCIEDAD ANONIMA,4.0,2.0,15.0,13.0,13.0,2.0,0.8666666666666667,0.13333333333333333,1.0,1.0,10:00,1
20254813720,CHAVIN DE HUANTAR E.I.R.L(*),20254813720,CHAVIN DE HUANTAR E.I.R.L(*),ganador,CHAVIN DE HUANTAR E.I.R.L(*),1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,CHAVIN DE HUANTAR E.I.R.L(*),672189548.3,444155082.6,ACTIVO,HABIDO,0.0,0.0,0.0,0.0,0.0,1.0,1.0,TRUJILLO LUNA EMILIANO ISAAC,CHAVIN DE HUANTAR E.I.R.L(*),3.0,2.0,12.0,9.0,2.0,10.0,0.16666666666666666,0.8333333333333334,0.0,0.0,,1
20602371442,CONSORCIO VIAL VES,20254813720,CHAVIN DE HUANTAR E.I.R.L(*),ganador,CONSORCIO VIAL VES,7.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,CONSORCIO VIAL VES,22764038584.0,21563612546.0,ACTIVO,HABIDO,0.0,0.0,0.0,1.0,0.0,2.0,3.0,TRUJILLO LUNA EMILIANO ISAAC,CONSORCIO VIAL VES,4.0,2.0,42.0,23.0,15.0,27.0,0.35714285714285715,0.6428571428571429,0.0,0.0,,1
20254813720,CHAVIN DE HUANTAR E.I.R.L(*),20602371442,CONSORCIO VIAL VES,ganador,CHAVIN DE HUANTAR E.I.R.L(*),1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,CHAVIN DE HUANTAR E.I.R.L(*),672189548.3,444155082.6,ACTIVO,HABIDO,0.0,0.0,0.0,0.0,0.0,1.0,1.0,TRUJILLO LUNA EMILIANO ISAAC,CHAVIN DE HUANTAR E.I.R.L(*),3.0,2.0,12.0,9.0,2.0,10.0,0.16666666666666666,0.8333333333333334,0.0,0.0,,1
20602371442,CONSORCIO VIAL VES,20602371442,CONSORCIO VIAL VES,ganador,CONSORCIO VIAL VES,7.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,CONSORCIO VIAL VES,22764038584.0,21563612546.0,ACTIVO,HABIDO,0.0,0.0,0.0,1.0,0.0,2.0,3.0,TRUJILLO LUNA EMILIANO ISAAC,CONSORCIO VIAL VES,4.0,2.0,42.0,23.0,15.0,27.0,0.35714285714285715,0.6428571428571429,0.0,0.0,,1
10267161823,RODRIGUEZ PAJARES WILLIAM FREDY(*),10024274018,ALARCON ARAGON BENJAMIN JAVIER,ganador,RODRIGUEZ PAJARES WILLIAM FREDY(*),3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,RODRIGUEZ PAJARES WILLIAM FREDY(*),,0.0,ACTIVO,HABIDO,0.0,0.0,0.0,0.0,0.0,1.0,3.0,DUEÑAS BRAVO DAVID ROY,RODRIGUEZ PAJARES WILLIAM FREDY(*),0.0,0.0,28.0,16.0,17.0,11.0,0.6071428571428571,0.39285714285714285,1.0,1.0,9:00,1
10267226933,SUPERVISOR SAYTOCOHA,10024274018,ALARCON ARAGON BENJAMIN JAVIER,ganador,SUPERVISOR SAYTOCOHA,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,SUPERVISOR SAYTOCOHA,,0.0,ACTIVO,HABIDO,0.0,0.0,0.0,0.0,0.0,,,,SUPERVISOR SAYTOCOHA,0.0,0.0,11.0,8.0,4.0,7.0,0.36363636363636365,0.6363636363636364,1.0,1.0,9:00,1
10434381288,SUPERVISOR SAYTOCOHA,10024274018,ALARCON ARAGON BENJAMIN JAVIER,ganador,SUPERVISOR SAYTOCOHA,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,SUPERVISOR SAYTOCOHA,,0.0,ACTIVO,HABIDO,0.0,0.0,0.0,0.0,0.0,,,,SUPERVISOR SAYTOCOHA,0.0,0.0,7.0,4.0,4.0,3.0,0.5714285714285714,0.42857142857142855,1.0,1.0,9:00,1
