CODIGO_UNICO,SECTOR,DEPARTAMENTO,NIVEL_GOBIERNO,IDENTIFICADOR_OBRA,PROCESO,OBJETO_PROCESO,CODIGO_OBRA,NOMBREOBRA,METODO_CONTRATACION,TIEMPO_ABSOLUCION_CONSULTAS,TIEMPO_PRESENTACION_OFERTAS
2499818,ORDEN PÚBLICO Y SEGURIDAD,ANCASH,GOBIERNO NACIONAL,2499818-2499818-719600-2060109-145004,21,Obra,145004,CREACION DEL SERVICIO DE PROTECCIÓN EN RIBERAS DEL RÍO LACRAMARCA VULNERABLES ANTE PELIGROS DE INUNDACIÓN; EN 58 COMUNIDADES EN LOS DISTRITOS DE MACATE; CACERES DEL PERU Y CHIMBOTE DE LA  PROVINCIA DE SANTA - DEPARTAMENTO DE ANCASH,Convenio,0,0
2499886,ORDEN PÚBLICO Y SEGURIDAD,LIMA,GOBIERNO NACIONAL,2499886-2499886-701912-2046940-141926,8,Obra,141926,CREACION DEL SERVICIO DE PROTECCIÓN EN LAS RIBERAS DEL RÍO HUAURA VULNERABLE ANTE PELIGRO DE INUNDACIONES EN LAS LOCALIDADES DE 5 DISTRITOS DE LA PROVINCIA DE OYON Y 6 DISTRITOS DE LA PROVINCIA DE HUAURA - DEPARTAMENTO DE LIMA - PAQUETE 01,Convenio,0,0
2500094,ORDEN PÚBLICO Y SEGURIDAD,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2500094-2500094-781513-2101534-157697,1,Obra,157697,CREACION DEL SERVICIO DE PROTECCIÓN CONTRA INUNDACIONES POR RIO ZAÑA Y AFLUENTES; DISTRITOS DE OYOTÚN; NUEVA ARICA; CAYALTÍ; ZAÑA;LAGUNAS-MOCUPE Y NANCHOC; DE LA PROVINCIA DE CHICLAYO DEL DEPARTAMENTO DE LAMBAYEQUE Y LA PROVINCIA DE SAN MIGUEL DEL DEPARTAMENTO DE CAJAMARCA,Convenio,0,0
2501291,ORDEN PÚBLICO Y SEGURIDAD,ANCASH,GOBIERNO NACIONAL,2501291-2501291-715869-2057425-144753,17,Obra,144753,CREACION DEL SERVICIO DE PROTECCIÓN ANTE PELIGRO DE INUNDACIONES EN AMBAS MARGENES DEL RIO HUARMEY; DESDE EL SECTOR HUAMBA HASTA LA SALIDA AL MAR; EN LOS DISTRITOS DE HUARMEY Y HUAYAN DE LA  PROVINCIA DE HUARMEY - DEPARTAMENTO DE ANCASH,Convenio,0,0
2501395,ORDEN PÚBLICO Y SEGURIDAD,ANCASH,GOBIERNO NACIONAL,2501395-2501395-715869-2057425-144752,17,Obra,144752,CREACION DEL SERVICIO DE PROTECCIÓN ANTE INUNDACIONES EN EL RÍO CASMA; RÍO SECHIN Y RÍO GRANDE EN LOS DISTRITOS DE COMANDANTE NOEL; BUENA VISTA; CASMA Y YAUTAN - 4 DISTRITOS DE LA PROVINCIA DE CASMA - DEPARTAMENTO DE ANCASH - SECHÍN,Convenio,0,0
2501633,SANEAMIENTO,LIMA,GOBIERNO NACIONAL,2501633-2501633-830937-2142082-161960,2,Consultoría de Obra,161960,AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO PARA LAS NUEVAS HABILITACIONES DEL ESQUEMA SANTA ROSA Y ANCON EN LOS DISTRITOS DE SANTA ROSA Y ANCON DE LA PROVNCIA DE LIMA - DEPARTAMENTO DE LIMA,Adjudicación Simplificada,0,0
2501633,SANEAMIENTO,LIMA,GOBIERNO NACIONAL,2501633-2501633-831096-2149812-167630,14,Consultoría de Obra,167630,SUPERVISION DEL EXPEDIENTE TECNICO -AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO PARA LAS NUEVAS HABILITACIONES DEL ESQUEMA SANTA ROSA Y ANCÓN EN LOS DISTRITOS DE SANTA ROSA Y ANCON DE LA PROVINCIA DE LIMA - DEPARTAMENTO DE LIMA,Concurso Público,0,0
2501657,ORDEN PÚBLICO Y SEGURIDAD,LA LIBERTAD,GOBIERNO NACIONAL,2501657-2501657-719510-2060104-145483,20,Obra,145483,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE PROTECCION CONTRA INUNDACIONES EN AMBAS MARGENES DEL RIO VIRU Y AFLUENTES; DISTRITO DE CARABAMBA Y VIRU - PROVINCIAS DE JULCAN Y VIRU - DEPARTAMENTO DE LA LIBERTAD,Convenio,0,0
2501721,ORDEN PÚBLICO Y SEGURIDAD,LA LIBERTAD,GOBIERNO NACIONAL,2501721-2501721-719510-2060104-145484,20,Obra,145484,CREACION DEL SERVICIO DE PROTECCIÓN CONTRA DESBORDES DE QUEBRADAS NORTE VERDE; QUENETO; CEREALES; EL ARENAL Y HUASCARAN;  DISTRITO DE VIRU - PROVINCIA DE VIRU - DEPARTAMENTO DE LA LIBERTAD.,Convenio,0,0
2501802,ORDEN PÚBLICO Y SEGURIDAD,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2501802-2501802-719510-2060104-145481,20,Obra,145481,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE PROTECCIÓN CONTRA INUNDACIONES; EN AMBAS MARGENES DEL RIO CHICAMA; TRAMO DE LA DESEMBOCADURA AL OCEANO PACIFICO HASTA EL PUENTE PUNTA MORENO; DISTRITO DE ASCOPE; CHICAMA; MAGDALENA DE CAO; CASA GRANDE; SANTIAGO DE CAO Y SAN BENITO DE LA PROVINCIA DE ASCOPE DEL DEPARTAMENTO DE LA LIBERTAD Y LA PROVINCIA DE CONTUMAZA DEL DEPARTAMENTO DE CAJAMARCA,Convenio,0,0
2502679,SALUD,CAJAMARCA,GOBIERNO NACIONAL,2502679-2502679-750568-2089687-152012,34,Consultoría de Obra,152012,MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE SALUD DEL ESTABLECIMIENTO DE SALUD SIMON BOLIVAR DISTRITO DE CAJAMARCA - PROVINCIA DE CAJAMARCA - DEPARTAMENTO DE CAJAMARCA,Adjudicación Simplificada - Ley N° 31125,0,0
2502679,SALUD,CAJAMARCA,GOBIERNO NACIONAL,2502679-2502679-767031-2107161-152012,41,Consultoría de Obra,152012,MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE SALUD DEL ESTABLECIMIENTO DE SALUD SIMON BOLIVAR DISTRITO DE CAJAMARCA - PROVINCIA DE CAJAMARCA - DEPARTAMENTO DE CAJAMARCA,Adjudicación Simplificada - Ley N° 31125,0,0
2502822,TRANSPORTE,CUSCO,GOBIERNO REGIONAL,2502822-2502822-749611-2090784-148627,29,Consultoría de Obra,148627,MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE TRANSITABILIDAD VIAL URBANA Y TURISMO; DESVIO PAMPAMARCA; TUNGASUCA; SURIMANA; DISTRITOS DE PAMPAMARCA Y TUPAC AMARU; PROVINCIA DE CANAS; DEPARTAMENTO DE CUSCO,Adjudicación Simplificada,0,0
2502822,TRANSPORTE,CUSCO,GOBIERNO REGIONAL,2502822-2502822-782486-2112848-148627,3,Consultoría de Obra,148627,MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE TRANSITABILIDAD VIAL URBANA Y TURISMO; DESVIO PAMPAMARCA; TUNGASUCA; SURIMANA; DISTRITOS DE PAMPAMARCA Y TUPAC AMARU; PROVINCIA DE CANAS; DEPARTAMENTO DE CUSCO,Adjudicación Simplificada,0,0
2503297,ORDEN PÚBLICO Y SEGURIDAD,LA LIBERTAD,GOBIERNO REGIONAL,2503297-2503297-705281-2049567-142822,10,Obra,142822,CREACION DE LOS SERVICIOS DE PROTECCIÓN CONTRA INUNDACIONES MEDIANTE CAPTACIÓN; CONTROL Y DERIVACIÓN HACIA EL MAR DE LAS AGUAS DE LAS AVENIDAS DE LA QUEBRADA DE SAN CARLOS DE LA CUENCA DEL CERRO CENTINELA;  DISTRITO DE LAREDO - PROVINCIA DE TRUJILLO - DEPARTAMENTO DE LA LIBERTAD - PAQUETE 3 DIQUES,Convenio,0,0
2506092,ORDEN PÚBLICO Y SEGURIDAD,LIMA,GOBIERNO NACIONAL,2506092-2506092-933575-2201164-505383,15,Consultoría de Obra,505383,CREACION DEL SERVICIO DE PROTECCIÓN ANTE INUNDACIONES EN EL RÍO MALA; EN LOS DISTRITOS DE MALA; SAN ANTONIO; SANTA CRUZ DE FLORES Y CALANGO - 4 DISTRITOS DE LA PROVINCIA DE CAÑETE - DEPARTAMENTO DE LIMA,Convenio,0,0
2506324,ORDEN PÚBLICO Y SEGURIDAD,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2506324-2506324-781513-2101534-157698,1,Obra,157698,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE PROTECCIÓN FRENTE A INUNDACIONES EN LA CUENCA DEL RIO OLMOS; EN 27 CENTROS POBLADOS EN LOS DISTRITOS DE OLMOS; JAYANCA Y HUARMACA EN LA PROVINCIA DE LAMBAYEQUE DEL DEPARTAMENTO DE LAMBAYEQUE Y LA PROVINCIA DE HUANCABAMBA DEL DEPARTAMENTO DE PIURA,Convenio,0,0
