CODIGO_UNICO,SECTOR,DEPARTAMENTO,NIVEL_GOBIERNO,IDENTIFICADOR_OBRA,ANHO,MES,Planificado,Real,IND_Intervension,IND_Residente,IND_Monto_Adelanto_Materiales,IND_Monto_Adelanto_Directo,IND_Fecha_Adelanto_Materiales,IND_Fecha_Adelanto_Directo
2234355,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2234355-116051-689292-2046091-82706,2023,4,0.82,0.68,NORMAL,ALERTA,ALERTA,NORMAL,NORMAL,NORMAL
2234355,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2234355-116051-659741-2012642-82706,2023,1,0.81,0.68,NORMAL,ALERTA,ALERTA,NORMAL,NORMAL,NORMAL
2234355,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2234355-116051-689292-2046091-82706,2023,1,0.81,0.68,NORMAL,ALERTA,ALERTA,NORMAL,NORMAL,NORMAL
2403504,SALUD Y SANEAMIENTO,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2403504-95668-887027-2180323-83650,2023,3,1,0.85,NORMAL,NORMAL,NORMAL,ALERTA,NORMAL,ALERTA
2403504,SALUD Y SANEAMIENTO,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2403504-95668-887027-2180323-83650,2023,7,1,0.85,NORMAL,NORMAL,NORMAL,ALERTA,NORMAL,ALERTA
2403504,SALUD Y SANEAMIENTO,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2403504-95668-887027-2180323-83650,2023,6,1,0.85,NORMAL,NORMAL,NORMAL,ALERTA,NORMAL,ALERTA
2403504,SALUD Y SANEAMIENTO,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2403504-95668-887027-2180323-83650,2023,5,1,0.85,NORMAL,NORMAL,NORMAL,ALERTA,NORMAL,ALERTA
2403504,SALUD Y SANEAMIENTO,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2403504-95668-887027-2180323-83650,2023,4,1,0.85,NORMAL,NORMAL,NORMAL,ALERTA,NORMAL,ALERTA
2403504,SALUD Y SANEAMIENTO,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2403504-95668-887027-2180323-83650,2023,2,1,0.85,NORMAL,NORMAL,NORMAL,ALERTA,NORMAL,ALERTA
2403504,SALUD Y SANEAMIENTO,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2403504-95668-887027-2180323-83650,2023,4,1,0.85,NORMAL,NORMAL,NORMAL,ALERTA,NORMAL,ALERTA
2403504,SALUD Y SANEAMIENTO,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2403504-95668-887027-2180323-83650,2023,1,1,0.84,NORMAL,NORMAL,NORMAL,ALERTA,NORMAL,ALERTA
2194709,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,2194709-231989-669343-2022593-84300,NULL,NULL,0,0,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2329618,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,2329618-365930-803241-2125629-84896,NULL,NULL,0,0,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2236530,TRANSPORTE,AREQUIPA,GOBIERNO LOCAL,2236530-249522-747170-2098229-85055,NULL,NULL,0,0,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2236530,TRANSPORTE,AREQUIPA,GOBIERNO LOCAL,2236530-249522-752533-2094217-85055,NULL,NULL,0,0,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2318430,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2318430-355479-691260-2049728-86587,NULL,NULL,0,0,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2284956,OTROS,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2284956-303267-719178-2093374-86858,NULL,NULL,0,0,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2300016,OTROS,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2300016-314709-718329-2077374-86930,NULL,NULL,0,0,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2302972,PESCA,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2302972-342038-702107-2057949-87051,NULL,NULL,0,0,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2333341,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2333341-372623-756930-2119863-88861,NULL,NULL,0,0,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2333341,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2333341-372623-840645-2156293-88861,NULL,NULL,0,0,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2333341,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2333341-372623-476807-2182289-88878,NULL,NULL,0,0,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
