CODIGO_UNICO,SECTOR,DEPARTAMENTO,NIVEL_GOBIERNO,IDENTIFICADOR_OBRA,PROCESO,OBJETO_PROCESO,CODIGO_OBRA,NOMBREOBRA,METODO_CONTRATACION,TIEMPO_ABSOLUCION_CONSULTAS,TIEMPO_PRESENTACION_OFERTAS,CODIGO_RUC_GANADOR,RAZON_SOCIAL,CONVOCATORIA_PROCESO_GANADO,TotalProcesosParticipantes,CODIGO_CONTRATO,NUMERO_CONTRATO,CODIGO_RUC_PARTICIPANTE,NOMBRE_PARTICIPANTE
2002210,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002210-8880-870112-2169901-826,60,Consultoría de Obra,826,Rehabilitación y Mejoramiento de la Carretera Chamaya ¿ Jaen ¿ San Ignacio ¿ Río Canchis; Tramo Pericos ¿ San Ignacio (Inc. Vía de Evitamiento),Concurso Público,0,0,20528975055,CONSORCIO V&F,870112,181,2169901,015-2023-MTC/20.2,10200904147,CONSORCIO V&F
2002210,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002210-8880-870112-2169901-826,60,Consultoría de Obra,826,Rehabilitación y Mejoramiento de la Carretera Chamaya ¿ Jaen ¿ San Ignacio ¿ Río Canchis; Tramo Pericos ¿ San Ignacio (Inc. Vía de Evitamiento),Concurso Público,0,0,20528975055,ARCE RECUAY VLADIMIR LEO(*),870112,181,2169901,015-2023-MTC/20.2,10201159534,ARCE RECUAY VLADIMIR LEO(*)
2002210,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002210-8880-870112-2169901-826,60,Consultoría de Obra,826,Rehabilitación y Mejoramiento de la Carretera Chamaya ¿ Jaen ¿ San Ignacio ¿ Río Canchis; Tramo Pericos ¿ San Ignacio (Inc. Vía de Evitamiento),Concurso Público,0,0,20528975055,GOMEZ PALOMINO ROLANDO,870112,181,2169901,015-2023-MTC/20.2,10282751921,GOMEZ PALOMINO ROLANDO
2002210,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002210-8880-870112-2169901-826,60,Consultoría de Obra,826,Rehabilitación y Mejoramiento de la Carretera Chamaya ¿ Jaen ¿ San Ignacio ¿ Río Canchis; Tramo Pericos ¿ San Ignacio (Inc. Vía de Evitamiento),Concurso Público,0,0,20528975055,MENDOZA PALOMINO JUAN(*),870112,181,2169901,015-2023-MTC/20.2,10710986792,MENDOZA PALOMINO JUAN(*)
2002210,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002210-8880-870112-2169901-826,60,Consultoría de Obra,826,Rehabilitación y Mejoramiento de la Carretera Chamaya ¿ Jaen ¿ San Ignacio ¿ Río Canchis; Tramo Pericos ¿ San Ignacio (Inc. Vía de Evitamiento),Concurso Público,0,0,20528975055,PRW INGENIERIA Y CONSTRUCCION S.A.C.,870112,181,2169901,015-2023-MTC/20.2,20522404331,PRW INGENIERIA Y CONSTRUCCION S.A.C.
2002210,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002210-8880-870112-2169901-826,60,Consultoría de Obra,826,Rehabilitación y Mejoramiento de la Carretera Chamaya ¿ Jaen ¿ San Ignacio ¿ Río Canchis; Tramo Pericos ¿ San Ignacio (Inc. Vía de Evitamiento),Concurso Público,0,0,20528975055,URCI CONSULTORES S.L. SUCURSAL DEL PERU,870112,181,2169901,015-2023-MTC/20.2,20524383901,URCI CONSULTORES S.L. SUCURSAL DEL PERU
2002210,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002210-8880-870112-2169901-826,60,Consultoría de Obra,826,Rehabilitación y Mejoramiento de la Carretera Chamaya ¿ Jaen ¿ San Ignacio ¿ Río Canchis; Tramo Pericos ¿ San Ignacio (Inc. Vía de Evitamiento),Concurso Público,0,0,20528975055,CONSTRUCTORA & CONSULTORA SAHMAT SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,870112,181,2169901,015-2023-MTC/20.2,20528975055,CONSTRUCTORA & CONSULTORA SAHMAT SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA
2002210,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002210-8880-870112-2169901-826,60,Consultoría de Obra,826,Rehabilitación y Mejoramiento de la Carretera Chamaya ¿ Jaen ¿ San Ignacio ¿ Río Canchis; Tramo Pericos ¿ San Ignacio (Inc. Vía de Evitamiento),Concurso Público,0,0,20528975055,CONSORCIO W & C,870112,181,2169901,015-2023-MTC/20.2,20600601467,CONSORCIO W & C
2002210,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002210-8880-870112-2169901-826,60,Consultoría de Obra,826,Rehabilitación y Mejoramiento de la Carretera Chamaya ¿ Jaen ¿ San Ignacio ¿ Río Canchis; Tramo Pericos ¿ San Ignacio (Inc. Vía de Evitamiento),Concurso Público,0,0,20528975055,MURARIA E.I.R.L(*),870112,181,2169901,015-2023-MTC/20.2,20600896394,MURARIA E.I.R.L(*)
2002210,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002210-8880-870112-2169901-826,60,Consultoría de Obra,826,Rehabilitación y Mejoramiento de la Carretera Chamaya ¿ Jaen ¿ San Ignacio ¿ Río Canchis; Tramo Pericos ¿ San Ignacio (Inc. Vía de Evitamiento),Concurso Público,0,0,20528975055,MANALBA CORP S.A.C.,870112,181,2169901,015-2023-MTC/20.2,20604335290,MANALBA CORP S.A.C.
2026767,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2026767-16256-709096-2067605-143536,14,Consultoría de Obra,143536,CONSTRUCCIÓN DE VARIANTE EN EL SECTOR TUTUMBARO Y REPARACIÓN DE NUEVOS SECTORES INESTABLES DE LA CARRETERA: QUINUA - SAN FRANCISCO; TRAMO 2,Concurso Público,0,0,20414192531,KUKOVA INGENIEROS S.A.C.(*),709096,69,2067605,072-2021-MTC/20.2,20117264883,KUKOVA INGENIEROS S.A.C.(*)
