CODIGO_UNICO,SECTOR,DEPARTAMENTO,NIVEL_GOBIERNO,IDENTIFICADOR_OBRA,CODIGO_OBRA,NOMBRE_OBRA,ESTADO_OBRA,ETAPA,DIAS_PLAZO,TOTAL_CONTROL_PREVIO,TOTAL_CONTROL_SIMULTANEO,TOTAL_CONTROL_POSTERIOR,RIESGO_OBRA,RIESGO_DESCRIPCION_OBRA
2328039,DEFENSA Y SEGURIDAD NACIONAL,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2328039-308669-726853-2070457-140616,140616,CONSTRUCCION E IMPLEMENTACION DEL NUEVO CENTRO DE EMPLEO DE ICA - SEGUNDA ETAPA (CONSTRUCCION),Finalizado,ETAPA NO IDENTIFICADA,0,0,0,0,2,Medianamente Riesgosa
2328039,DEFENSA Y SEGURIDAD NACIONAL,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2328039-308669-733820-2070458-140616,140616,CONSTRUCCION E IMPLEMENTACION DEL NUEVO CENTRO DE EMPLEO DE ICA - SEGUNDA ETAPA (CONSTRUCCION),Finalizado,ETAPA NO IDENTIFICADA,0,0,0,0,2,Medianamente Riesgosa
2328039,DEFENSA Y SEGURIDAD NACIONAL,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2328039-308669-733857-2070460-140616,140616,CONSTRUCCION E IMPLEMENTACION DEL NUEVO CENTRO DE EMPLEO DE ICA - SEGUNDA ETAPA (CONSTRUCCION),Finalizado,ETAPA NO IDENTIFICADA,0,0,0,0,0,Sin Riesgo
2328039,DEFENSA Y SEGURIDAD NACIONAL,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2328039-308669-852688-2152982-171562,171562,ACONDICIONAMIENTO DE AMBIENTES PARA LA IMPLEMENTACION DEL CENTRO DE EMPLEO DE LIMA METROPOLITANA - SEDE MTPE,Finalizado,ETAPA NO IDENTIFICADA,0,0,0,0,1,Bajamente Riesgosa
2329618,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,2329618-365930-776041-2105638-150346,150346,MEJORAMIENTO DE LA CARRETERA DEPARTAMENTAL JU-103 TRAMO: EMP. PE-22 A PALCA - TAPO - ANTACUCHO - RICRAN - ABRA CAYAN - YAULI - PACAN - EMP. PE-3S A JAUJA - REGION JUNIN - SALDO II ETAPA,En Ejecución,EJECUCIÓN,0,0,0,0,4,Extremadamente Riesgosa
2329618,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,2329618-365930-788990-2124348-156086,156086,MEJORAMIENTO DE LA CARRETERA DEPARTAMENTAL JU-103 TRAMO: EMP. PE-22 A PALCA - TAPO - ANTACUCHO - RICRAN - ABRA CAYAN - YAULI -PACÁN - EMP. PE-3S A JAUJA - REGIÓN JUNÍN - SALDO III ETAPA,Sin Ejecución,SUPERVISIÓN,0,0,0,0,4,Extremadamente Riesgosa
2329618,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,2329618-365930-803241-2125629-84896,84896,MEJORAMIENTO DE LA CARRETERA DEPARTAMENTAL JU-103 TRAMO: EMP. PE-22 A PALCA - TAPO - ANTACUCHO - RICRAN - ABRA CAYAN - YAULI - PACAN - EMP. PE-3S A JAUJA - REGION JUNIN,Finalizado,SUPERVISIÓN,0,0,1,1,4,Extremadamente Riesgosa
2331034,SALUD,LA LIBERTAD,GOBIERNO NACIONAL,2331034-369573-619988-2006266-122362,122362,MEJORAMIENTO DE LOS SERVICIOS DE SALUD DEL HOSPITAL CHOCOPE DE LA RED ASISTENCIAL LA LIBERTAD;  DISTRITO DE CHOCOPE - PROVINCIA DE ASCOPE - DEPARTAMENTO DE LA LIBERTAD,En Ejecución,EXPEDIENTE TÉCNICO,0,0,0,0,1,Bajamente Riesgosa
2331873,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,2331873-371182-565626-2176199-79281,79281,MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD DEL EJE DE INTEGRACIÓN  VIAL NORTE ENTRE LA INTERSECCIÓN DE LA AV. LAS TORRES - VIA PE -34A HASTA LA INTERSECCIÓN CON LA AV. ITALIA - AV. AVIACIÓN; DISTRITOS DE YURA Y CERRO COLORADO; PROVINCIA DE AREQUIPA; REGIÓN AREQUIPA - TRAMO I,Finalizado,SUPERVISIÓN,0,0,0,0,4,Extremadamente Riesgosa
2331873,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,2331873-371182-619504-2008877-79281,79281,MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD DEL EJE DE INTEGRACIÓN  VIAL NORTE ENTRE LA INTERSECCIÓN DE LA AV. LAS TORRES - VIA PE -34A HASTA LA INTERSECCIÓN CON LA AV. ITALIA - AV. AVIACIÓN; DISTRITOS DE YURA Y CERRO COLORADO; PROVINCIA DE AREQUIPA; REGIÓN AREQUIPA - TRAMO I,Finalizado,ETAPA NO IDENTIFICADA,185,0,0,0,4,Extremadamente Riesgosa
