CODIGO_UNICO,SECTOR,DEPARTAMENTO,NIVEL_GOBIERNO,CODIGO_OBRA,NOMBRE_OBRA,EMPRESA_EJECUTORA,EMPRESA_SUPERVISORA,ESTADO_OBRA
2402106,SALUD,HUANUCO,GOBIERNO REGIONAL,109529,MEJORAMIENTO DE LOS SERVICIOS DE SALUD DEL SEGUNDO NIVEL; II1 DE COMPLEJIDAD DEL HOSPITAL LA UNIÓN DEL DISTRITO DE LA UNIÓN  PROVINCIA DE DOS DE MAYO  DEPARTAMENTO DE HUÁNUCO,NULL,PINEDA MENESES SAMUEL MOISES,Sin Ejecución
2259669,OTROS,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,111086,MEJORAMIENTO DE LOS SERVICIOS DE SALUD DEL HOSPITAL II TALARA EN EL DISTRITO DE PARIÑAS; PROVINCIA DE TALARA; DEPARTAMENTO DE PIURA,NULL,CONSORCIO SALUD DEL NORTE;JJR CONSTRUCTORA Y SERVICIOS GENERALES S.A.C.(*),Sin Ejecución
2259669,OTROS,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,111086,MEJORAMIENTO DE LOS SERVICIOS DE SALUD DEL HOSPITAL II TALARA EN EL DISTRITO DE PARIÑAS; PROVINCIA DE TALARA; DEPARTAMENTO DE PIURA,NULL,CONSORCIO SALUD DEL NORTE;JJR CONSTRUCTORA Y SERVICIOS GENERALES S.A.C.(*),Sin Ejecución
2066003,INDUSTRIA; COMERCIO Y SERVICIOS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,111275,CONSTRUCCIÓN DEL PABELLÓN B2 - PAVIMENTACIÓN EN EL GRAN MERCADO MAYORISTA DE LIMA,NULL,CONSORCIO CONSULTOR B3;CONSULTORA PERUANA DE INGENIERIA S.A.C.;PEÑA CORAL FERNANDO(*),Finalizado
2066003,INDUSTRIA; COMERCIO Y SERVICIOS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,111277,CONSTRUCCIÓN DEL PABELLÓN B3 - PAVIMENTACIÓN EN EL GRAN MERCADO MAYORISTA DE LIMA,NULL,SIGRAL S.A.,Finalizado
2392641,TRANSPORTE,HUANCAVELICA,GOBIERNO NACIONAL,114078,Mejoramiento de la Carretera  Huancavelica-Santa Ines-Empalme Ruta 28A; Villa Los Libertadores (Pampano); Tramo: Santa Ines-Pampano,NULL,NULL,Sin Ejecución
2392641,TRANSPORTE,HUANCAVELICA,GOBIERNO NACIONAL,114078,Mejoramiento de la Carretera  Huancavelica-Santa Ines-Empalme Ruta 28A; Villa Los Libertadores (Pampano); Tramo: Santa Ines-Pampano,NULL,NULL,Sin Ejecución
2262744,ENERGIA Y RECURSOS MINERALES,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,114812,MEJORAMIENTO DE LA INFRAESTRUCTURA DE CONDUCCIÓN TRASVASE HUALLABAMBA; DISTRITO DE MOTUPE; INCAHUASI Y KAÑARIS; PROVINCIAS DE LAMBAYEQUE Y FERREÑAFE - REGIÓN LAMBAYEQUE,NULL,CONSORCIO SUPERVISOR HUALLABAMBA;HC &amp; ASOCIADOS S.R.L.(*),Sin Ejecución
2403922,SANEAMIENTO,AREQUIPA,GOBIERNO LOCAL,115003,MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE TRATAMIENTO DE AGUAS RESIDUALES; PARA LOS DISTRITOS DE CAMANÁ; SAMUEL PASTOR Y NICOLAS DE PIÉROLA; PROVINCIA DE CAMANÁ; AREQUIPA,NULL,GAMARRA TUCO PAULO CESAR,Sin Ejecución
2403922,SANEAMIENTO,AREQUIPA,GOBIERNO LOCAL,115003,MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE TRATAMIENTO DE AGUAS RESIDUALES; PARA LOS DISTRITOS DE CAMANÁ; SAMUEL PASTOR Y NICOLAS DE PIÉROLA; PROVINCIA DE CAMANÁ; AREQUIPA,NULL,GAMARRA TUCO PAULO CESAR,Sin Ejecución
2412955,SANEAMIENTO,LIMA,GOBIERNO NACIONAL,115008,AMPLIACIÓN DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO EN NUEVAS HABILITACIONES PARTES ALTAS DE HUAYCAN II ;SECTORES 150; 151;152;153;154 DISTRITO ATE -PROVINCIA DE LIMA-DEPARTAMENTO DE LIMA.,NULL,NULL,Sin Ejecución
2340083,OTROS,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,115016,AMPLIACIÓN Y MEJORAMIENTO DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE LOS SECTORES 268;269;270;271;272;274;275 Y 276- DISTRITO VENTANILLA -PROVINCIA CONSTITUCIONAL DEL CALLAO,NULL,NULL,Sin Ejecución
2387810,SANEAMIENTO,ANCASH,GOBIERNO NACIONAL,115304,MEJORAMIENTO Y AMPLIACION DE LOS SISTEMAS DE AGUA POTABLE; ALCANTARILLADO Y TRATAMIENTO DE LAS AGUAS RESIDUALES DE LA CIUDAD DE HUARMEY DISTRITO DE HUARMEY - PROVINCIA DE HUARMEY - DEPARTAMENTO DE ANCASH,NULL,NULL,En Ejecución
2090887,SALUD Y SANEAMIENTO,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,115823,DRENAJE PLUVIAL DE LA CIUDAD DE JULIACA  (EXPEDIENTE TÉCNICO DE SALDO DE OBRA),NULL,NULL,Sin Ejecución
2454755,TRANSPORTE,SAN MARTIN,GOBIERNO LOCAL,116356,Mejoramiento del servicio de transitabilidad del camino vecinal; emp. PE-5N (Dv. Yacucatina) - Utcurarca - Machungo - Sauce; Distritos de Juan Guerra; Alberto Leveau; Sauce y Pilluana; Provincia de San Martín y Picota; Departamento de San Martín.,NULL,CONSORCIO SUPERVISOR SACANCHE II;DELGADO VASQUEZ GEICEN BLADISLAV(*),Sin Ejecución
2454755,TRANSPORTE,SAN MARTIN,GOBIERNO LOCAL,116356,Mejoramiento del servicio de transitabilidad del camino vecinal; emp. PE-5N (Dv. Yacucatina) - Utcurarca - Machungo - Sauce; Distritos de Juan Guerra; Alberto Leveau; Sauce y Pilluana; Provincia de San Martín y Picota; Departamento de San Martín.,NULL,CONSORCIO SUPERVISOR SACANCHE II;DELGADO VASQUEZ GEICEN BLADISLAV(*),Sin Ejecución
2055893,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,118093,PROTECCIÓN DEL TALUD SUPERIOR DE LA COSTA VERDE TRAMO CALLAO Código Unificado 2055893,BIDDLE INC S.A.C.(*);CONSORCIO VIAL CALLAO,CONSORCIO SUPERVISOR SAN JOSE,Finalizado
2055893,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,118093,PROTECCIÓN DEL TALUD SUPERIOR DE LA COSTA VERDE TRAMO CALLAO Código Unificado 2055893,BIDDLE INC S.A.C.(*);CONSORCIO VIAL CALLAO,CONSORCIO SUPERVISOR SAN JOSE,Finalizado
2193247,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,119151,MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO EN EL CASERIO DE SAN MARTIN Y ANEXO MOLINO; CHARAMPAMPA; PASHUL Y PACA UP 57A,NULL,NULL,Sin Ejecución
2326592,AGROPECUARIA,HUANCAVELICA,GOBIERNO REGIONAL,119167,"CONTRATACION DEL SERVICIO DE CONSULTORIA DE OBRA ELABORACION DEL EXPEDIENTE TECNICO DEL PROYECTO: ""MEJORAMIENTO DEL SERVICIO DE AGUA DEL SISTEMA DE RIEGO TULLPACANCHA; EN LOS DISTRITOS DE CHURCAMPA; LA MERCED Y SAN MIGUEL DE MAYOCC DE LA PROVINCIA DE CHURCAMPA - DEPARTAMENTO DE HUANCAVELICA",NULL,CONSORCIO TULLPACANCHA;PROYECTO VERDE ASESORES Y CONSULTORES S.A.C.(*),Sin Ejecución
