CODIGO_UNICO,SECTOR,DEPARTAMENTO,NIVEL_GOBIERNO,IDENTIFICADOR_OBRA,PROCESO,OBJETO_PROCESO,CODIGO_OBRA,NOMBREOBRA,METODO_CONTRATACION,TIEMPO_ABSOLUCION_CONSULTAS,TIEMPO_PRESENTACION_OFERTAS,CODIGO_RUC,RAZON_SOCIAL,CONVOCATORIA_PROCESO_GANADO,MIEMBROS_DE_COMITE,TotalProcesosParticipantes,CODIGO_CONTRATO,NUMERO_CONTRATO,MONTO_CONTRACTUAL,MONTO_REFERENCIAL,MONTO_OFERTADO_PROMEDIO
2425240,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2425240-2425240-649683-2019501-130452,25,Obra,130452,INSTALACIÓN DEL PUENTE MODULAR COCHAPETI; DISTRITO DE CACERES DEL PERU; PROVINCIA DE SANTA; REGIÓN ANCASH.,Procedimiento Especial de Contratación,0,0,20511631760,CONCRETTA CONSTRUCTORA E INMOBILIARIA SAC,649683," BUENDIA MAURICIO ALEX, CARPIO MEZA OMAR ALBERTO, CENTENO GUEVARA RICARDO, ESPINOZA TORRES MIGUEL ANGEL, LAZO BENZA OMAR JESUS, MACEDO CATACORA FREDDY",289,2019501,Nº 233-2020-MTC/21 - ITEM 02,479372.59,2279913.66,678306.36
2425240,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2425240-2425240-649683-2019501-130452,25,Obra,130452,INSTALACIÓN DEL PUENTE MODULAR COCHAPETI; DISTRITO DE CACERES DEL PERU; PROVINCIA DE SANTA; REGIÓN ANCASH.,Procedimiento Especial de Contratación,0,0,20517093492,CONSORCIO PUENTES MODULARES,649683," BUENDIA MAURICIO ALEX, CARPIO MEZA OMAR ALBERTO, CENTENO GUEVARA RICARDO, ESPINOZA TORRES MIGUEL ANGEL, LAZO BENZA OMAR JESUS, MACEDO CATACORA FREDDY",54,2019501,Nº 233-2020-MTC/21 - ITEM 02,479372.59,2279913.66,678306.36
2425240,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2425240-2425240-649683-2019501-130452,25,Obra,130452,INSTALACIÓN DEL PUENTE MODULAR COCHAPETI; DISTRITO DE CACERES DEL PERU; PROVINCIA DE SANTA; REGIÓN ANCASH.,Procedimiento Especial de Contratación,0,0,20539183878,CONSORCIO IBERPERU,649683," BUENDIA MAURICIO ALEX, CARPIO MEZA OMAR ALBERTO, CENTENO GUEVARA RICARDO, ESPINOZA TORRES MIGUEL ANGEL, LAZO BENZA OMAR JESUS, MACEDO CATACORA FREDDY",212,2019501,Nº 233-2020-MTC/21 - ITEM 02,479372.59,2279913.66,678306.36
2425240,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2425240-2425240-649683-2019501-130452,25,Obra,130452,INSTALACIÓN DEL PUENTE MODULAR COCHAPETI; DISTRITO DE CACERES DEL PERU; PROVINCIA DE SANTA; REGIÓN ANCASH.,Procedimiento Especial de Contratación,0,0,20549933824,ECOPSA PERU INGENIERIA Y CONSTRUCCION S.A.C. - ECOPSA PERU S.A.C.(*),649683," BUENDIA MAURICIO ALEX, CARPIO MEZA OMAR ALBERTO, CENTENO GUEVARA RICARDO, ESPINOZA TORRES MIGUEL ANGEL, LAZO BENZA OMAR JESUS, MACEDO CATACORA FREDDY",19,2019501,Nº 233-2020-MTC/21 - ITEM 02,479372.59,2279913.66,678306.36
2425240,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2425240-2425240-652455-2015002-130909,27,Consultoría de Obra,130909,INSTALACIÓN DEL PUENTE MODULAR CEMENTERIO; DISTRITO CHIMBOTE PROVINCIA DE SANTA; REGIÓN ANCASH.,Procedimiento Especial de Contratación,0,0,20507201793,JELCH INGENIEROS E.I.R.L.,652455," CENTENO GUEVARA RICARDO, CUESTAS HUALLPA OMAR LENIN, ESPINOZA TORRES MIGUEL ANGEL, FLORES MARTINEZ JENIFFER, POMA DAMIAN EDWIN FREDY, SÁENZ SAUCEDO JUAN CARLOS",307,2015002,Nº 213-2020-MTC/21 - ITEM 03,47692.75,239122.79,53302.43
2425240,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2425240-2425240-652455-2015002-130909,27,Consultoría de Obra,130909,INSTALACIÓN DEL PUENTE MODULAR CEMENTERIO; DISTRITO CHIMBOTE PROVINCIA DE SANTA; REGIÓN ANCASH.,Procedimiento Especial de Contratación,0,0,20545865158,YIP INGENIEROS CONSULTORES S.A.C.,652455," CENTENO GUEVARA RICARDO, CUESTAS HUALLPA OMAR LENIN, ESPINOZA TORRES MIGUEL ANGEL, FLORES MARTINEZ JENIFFER, POMA DAMIAN EDWIN FREDY, SÁENZ SAUCEDO JUAN CARLOS",161,2015002,Nº 213-2020-MTC/21 - ITEM 03,47692.75,239122.79,53302.43
2425240,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2425240-2425240-653403-2015192-130759,28,Consultoría de Obra,130759,INSTALACIÓN DEL PUENTE MODULAR LOS ARABES; DISTRITO Y PROVINCIA DE HUARMEY; REGIÓN ANCASH.,Procedimiento Especial de Contratación,0,0,10021511116,ROJAS MAMANI DIONISIO,653403," BEDOYA ESPINOZA ANA JULIA, BUENDIA MAURICIO ALEX, CENTENO GUEVARA RICARDO, ESPINOZA TORRES MIGUEL ANGEL, LAZO BENZA OMAR JESUS, NUÑEZ PEREDA JHON CARLOS",545,2015192,Nº 214-2020-MTC/21 - ITEM 2,41282.41,109125.44,48504.6
2425240,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2425240-2425240-654896-2016762-131498,30,Obra,131498,INSTALACIÓN DEL PUENTE MODULAR EL INGENIO;; DISTRITO ANGASMARCA; PROVINCIA DE SANTIAGO DE CHUCO; REGIÓN LA LIBERTAD.,Procedimiento Especial de Contratación,0,0,20407849699,CONSORCIO JIREH,654896," CARPIO MEZA OMAR ALBERTO, CENTENO GUEVARA RICARDO, ESPINOZA TORRES MIGUEL ANGEL, FLORES MARTINEZ JENIFFER, LAZO BENZA OMAR JESUS, NAVARRO CARHUAS MICHEL DENNY",132,2016762,Nº 227-2020-MTC/21 - ITEM 02,569622.67,1272380.46,572606.74
2425240,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2425240-2425240-654896-2016762-131498,30,Obra,131498,INSTALACIÓN DEL PUENTE MODULAR EL INGENIO;; DISTRITO ANGASMARCA; PROVINCIA DE SANTIAGO DE CHUCO; REGIÓN LA LIBERTAD.,Procedimiento Especial de Contratación,0,0,20533664904,CONSORCIO JIREH,654896," CARPIO MEZA OMAR ALBERTO, CENTENO GUEVARA RICARDO, ESPINOZA TORRES MIGUEL ANGEL, FLORES MARTINEZ JENIFFER, LAZO BENZA OMAR JESUS, NAVARRO CARHUAS MICHEL DENNY",83,2016762,Nº 227-2020-MTC/21 - ITEM 02,569622.67,1272380.46,572606.74
2425240,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2425240-2425240-654896-2016762-131498,30,Obra,131498,INSTALACIÓN DEL PUENTE MODULAR EL INGENIO;; DISTRITO ANGASMARCA; PROVINCIA DE SANTIAGO DE CHUCO; REGIÓN LA LIBERTAD.,Procedimiento Especial de Contratación,0,0,20606596171,ECOPERU CONSTRUCTORA S.A.C.(*),654896," CARPIO MEZA OMAR ALBERTO, CENTENO GUEVARA RICARDO, ESPINOZA TORRES MIGUEL ANGEL, FLORES MARTINEZ JENIFFER, LAZO BENZA OMAR JESUS, NAVARRO CARHUAS MICHEL DENNY",64,2016762,Nº 227-2020-MTC/21 - ITEM 02,569622.67,1272380.46,572606.74
2425240,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2425240-2425240-654909-2017911-131543,29,Obra,131543,INSTALACIÓN DEL PUENTE MODULAR TAMBO REAL; DISTRITO CHIMBOTE; PROVINCIA DE SANTA; REGIÓN ANCASH.,Procedimiento Especial de Contratación,0,0,20486120321,PACIFIC INVERSIONES SOCIEDAD ANONIMA(*),654909," BUENDIA MAURICIO ALEX, CARPIO MEZA OMAR ALBERTO, CUESTAS HUALLPA OMAR LENIN, ESPINOZA TORRES MIGUEL ANGEL, LAZO BENZA OMAR JESUS, MACEDO CATACORA FREDDY",235,2017911,Nº229-2020-MTC/21 - ITEM 2,477474.9,1389865.5,617609.64
