COD_UNICO,IDENTIFICADOR_OBRA,CODIGO_OBRA,OBRA_RIESGO_DESC,OBRA_RIESGO,NOMBRE_OBRA
2428356,2428356-2428356-763890-2091852-152016,152016,Extremadamente Riesgosa,4,AMPLIACION DE LOS SERVICIOS DE ONCOLOGIA Y HEMODIALISIS DEL HOSPITAL REGIONAL DE CAJAMARCA; DISTRITO DE CAJAMARCA - PROVINCIA DE CAJAMARCA - DEPARTAMENTO DE CAJAMARCA
2428356,2428356-2428356-767107-2099542-152016,152016,Extremadamente Riesgosa,4,AMPLIACION DE LOS SERVICIOS DE ONCOLOGIA Y HEMODIALISIS DEL HOSPITAL REGIONAL DE CAJAMARCA; DISTRITO DE CAJAMARCA - PROVINCIA DE CAJAMARCA - DEPARTAMENTO DE CAJAMARCA
2446345,2446345-2446345-705281-2049567-142821,142821,Sin Riesgo,0,CREACION DEL SERVICIO DE PROTECCIÓN CONTRA INUNDACIONES EN LA QUEBRADA DE SAN IDELFONSO; EN LOS DISTRITOS DE EL PORVENIR; TRUJILLO Y VICTOR LARCO HERRERA DE LA  PROVINCIA DE TRUJILLO - DEPARTAMENTO DE LA LIBERTAD - PAQUETE 2 DIQUES
2451550,2451550-2451550-702502-2059380-127427,127427,Extremadamente Riesgosa,4,MEJORAMIENTO DE LA CARRETERA IZCUCHACA - HUANTA; TRAMO: IZCUCHACA - MAYOCC DISTRITO DE IZCUCHACA - PROVINCIA DE HUANCAVELICA - DEPARTAMENTO DE HUANCAVELICA
2454755,2454755-2454755-621993-2003957-116356,116356,Medianamente Riesgosa,2,Mejoramiento del servicio de transitabilidad del camino vecinal; emp. PE-5N (Dv. Yacucatina) - Utcurarca - Machungo - Sauce; Distritos de Juan Guerra; Alberto Leveau; Sauce y Pilluana; Provincia de San Martín y Picota; Departamento de San Martín.
2454755,2454755-2454755-837834-2161318-116356,116356,Medianamente Riesgosa,2,Mejoramiento del servicio de transitabilidad del camino vecinal; emp. PE-5N (Dv. Yacucatina) - Utcurarca - Machungo - Sauce; Distritos de Juan Guerra; Alberto Leveau; Sauce y Pilluana; Provincia de San Martín y Picota; Departamento de San Martín.
2470680,2470680-2470680-693030-2055637-138923,138923,Extremadamente Riesgosa,4,MEJORAMIENTO DE LA CARRETERA RUTA PE-1N T; TRAMO: PAIMAS - AYABACA - EMP. PE-3N (SOCCHABAMBA)
2471722,2471722-2471722-818155-2130970-164856,164856,Medianamente Riesgosa,2,"PIP: ""MEJORAMIENTO DEL SERVICIO DE HABITABILIDAD INSTITUCIONAL Y DE VIVIENDAS DE LAS UNIDADES ACANTONADAS EN EL FUERTE GRAL. DE DIVISIÓN RAFAEL HOYOS RUBIO; UBICADO EN EL DISTRITO DEL RIMAC - DPTO/PROV LIMA - LIMA"""
2471736,2471736-2471736-655576-2020834-131605,131605,Extremadamente Riesgosa,4,MEJORAMIENTO DE LA INFRAESTRUCTURA DE RIEGO DEL CANAL DE IRRIGACIÓN MARGEN IZQUIERDA DEL RÍO SISA DE LOS DISTRITOS DE SAN PABLO; SAN HILARION; PUERTO RICO Y DISTRITO DE CASPISAPA - PROVINCIA DE PICOTA - DEPARTAMENTO DE SAN MARTIN 
2472603,2472603-2472603-656014-2036906-132120,132120,Extremadamente Riesgosa,4,CONSTRUCCION DE PUENTES POR REEMPLAZO EN SULLANA TAMBOGRANDE PAIMAS
2473375,2473375-2473375-769507-2097720-153456,153456,Sin Riesgo,0,ESTUDIO DEFINITIVO DE INGENIERIA DEL PROYECTO DE CONSTRUCCION VIA EXPRESA SANTA ROSA -VESR
2479971,2479971-2479971-820095-2143955-165523,165523,Sin Riesgo,0,SERVICIO DE CONSULTORIA DE SUPERVISION DE LA OBRA AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE ABASTECIMIENTO DE AGUA POTABLE EN LOS DISTRITOS DE SOCABAYA; SABANDIA Y CHARACATO DE LA PROVINCIA DE AREQUIPA; DEPARTAMENTO DE AREQUIPA
