identificador_obra_key,codigo_unico_key,y_riesgo,CODIGO_UNICO,SECTOR,DEPARTAMENTO,NIVEL_GOBIERNO,CODIGO_OBRA,ESTADO_OBRA,ETAPA,DIAS_PLAZO,TOTAL_CONTROL_PREVIO,TOTAL_CONTROL_SIMULTANEO,TOTAL_CONTROL_POSTERIOR,f2a3a_n_registros,f2a3a_nunique_MIEMBROS_DE_COMITE,f2b_n_registros,f2b_CODIGO_UNICO_mean,f2b_CODIGO_UNICO_max,f2b_PROCESO_mean,f2b_PROCESO_max,f2b_CONVOCATORIA_mean,f2b_CONVOCATORIA_max,f2b_DNI_MIEMBRO_COMITE_mean,f2b_DNI_MIEMBRO_COMITE_max,f2b_nunique_NOMBRE_MIEMBRO_COMITE,f3b_n_registros,f3b_n_ruc_participantes,f3b_n_ruc_ganadores,f3b_ratio_ganadores_participantes,f3c_n_registros,f3c_n_ofertas_con_monto,f3c_monto_ofertado_min,f3c_monto_ofertado_max,f3c_monto_ofertado_mean,f3c_monto_ofertado_median,f3c_monto_ofertado_std,f3c_rango_monto_ofertado,f5a_n_registros,f5a_ANHO_sum,f5a_MES_mean,f5a_MES_max,f5a_MES_sum,f5a_Planificado_mean,f5a_Planificado_max,f5a_Planificado_sum,f5a_Real_mean,f5a_Real_max,f5a_Real_sum,f5a_nunique_ANHO,f5a_nunique_MES
2395022-2395022-683269-2037468-139004,2395022,1,2395022,SANEAMIENTO,LIMA,GOBIERNO NACIONAL,139004,Sin Ejecución,ETAPA NO IDENTIFICADA,0,0,1,0,2.0,0.0,,,,,,,,,,,6.0,3.0,2.0,0.6666666666666666,6.0,6.0,10699000.53,16441619.15,12613206.736666666,10699000.53,2965475.5038507497,5742618.620000001,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2402106-94845-696507-2054187-109529,2402106,1,2402106,SALUD,HUANUCO,GOBIERNO REGIONAL,109529,Sin Ejecución,SUPERVISIÓN,0,0,0,0,1.0,1.0,7.0,2402106.0,2402106.0,131.0,131.0,696507.0,696507.0,41016864.28571428,47351210.0,7.0,6.0,6.0,1.0,0.16666666666666666,6.0,6.0,225000.0,240000.0,227500.0,225000.0,6123.724356957945,15000.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2403503-167501-771812-2107949-155990,2403503,1,2403503,SANEAMIENTO,LIMA,GOBIERNO NACIONAL,155990,Sin Ejecución,EXPEDIENTE TÉCNICO,0,0,0,0,2.0,1.0,6.0,2403503.0,2403503.0,107.0,107.0,771812.0,771812.0,38030957.333333336,72967194.0,6.0,20.0,10.0,2.0,0.2,20.0,20.0,659180.43,732422.69,673828.882,659180.43,30057.989287116907,73242.2599999999,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2403504-95668-887027-2180323-83650,2403504,1,2403504,SALUD Y SANEAMIENTO,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,83650,En Ejecución,EXPEDIENTE TÉCNICO,0,0,1,0,2.0,1.0,6.0,2403504.0,2403504.0,3.0,3.0,887027.0,887027.0,28210950.0,80508996.0,6.0,12.0,6.0,2.0,0.3333333333333333,12.0,12.0,224370.09,224370.09,224370.09,224370.09,0.0,0.0,8,16184.0,4.0,7.0,32.0,1.0,1.0,8.0,0.84875,0.85,6.79,1,7
2403922-258244-631773-2013670-115003,2403922,1,2403922,SANEAMIENTO,AREQUIPA,GOBIERNO LOCAL,115003,Sin Ejecución,SUPERVISIÓN,0,0,0,0,1.0,1.0,6.0,2403922.0,2403922.0,2.0,2.0,631773.0,631773.0,43950581.833333336,73099896.0,6.0,5.0,5.0,1.0,0.2,5.0,5.0,120420.18,133800.2,123096.18399999998,120420.18,5983.726852061354,13380.020000000019,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2403922-258244-633141-2013576-115003,2403922,1,2403922,SANEAMIENTO,AREQUIPA,GOBIERNO LOCAL,115003,Sin Ejecución,EXPEDIENTE TÉCNICO,0,0,0,0,1.0,1.0,6.0,2403922.0,2403922.0,1.0,1.0,633141.0,633141.0,43950581.833333336,73099896.0,6.0,5.0,5.0,1.0,0.2,5.0,5.0,1797169.5,1797169.5,1797169.5,1797169.5,0.0,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2412703-2412703-777241-2164311-152911,2412703,1,2412703,PLANEAMIENTO; GESTIÓN Y RESERVA DE CONTINGENCIA,LIMA,GOBIERNO NACIONAL,152911,En Ejecución,EXPEDIENTE TÉCNICO,0,0,1,0,2.0,1.0,9.0,2412703.0,2412703.0,1.0,1.0,777241.0,777241.0,23506899.555555556,41585600.0,9.0,8.0,4.0,2.0,0.5,8.0,8.0,13300000.0,13751230.16,13525615.08,13525615.08,241192.665899884,451230.16000000015,4,8092.0,6.5,8.0,26.0,0.265,0.51,1.06,0.2,0.34,0.8,1,4
2412703-2412703-819493-2184883-161132,2412703,0,2412703,PLANEAMIENTO; GESTIÓN Y RESERVA DE CONTINGENCIA,LIMA,GOBIERNO NACIONAL,161132,Sin Ejecución,EXPEDIENTE TÉCNICO,0,0,0,0,4.0,0.0,,,,,,,,,,,24.0,6.0,4.0,0.6666666666666666,24.0,24.0,13450000.0,13815329.22,13571776.406666666,13450000.0,175921.87922743498,365329.22000000067,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2412703-2412703-826086-2184736-152911,2412703,1,2412703,PLANEAMIENTO; GESTIÓN Y RESERVA DE CONTINGENCIA,LIMA,GOBIERNO NACIONAL,152911,En Ejecución,SUPERVISIÓN,0,0,1,0,1.0,1.0,4.0,2412703.0,2412703.0,1.0,1.0,826086.0,826086.0,17816066.0,40669988.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,334770.61,334770.61,334770.61,334770.61,,0.0,4,8092.0,6.5,8.0,26.0,0.265,0.51,1.06,0.2,0.34,0.8,1,4
2412955-2412955-649178-2025819-115008,2412955,1,2412955,SANEAMIENTO,LIMA,GOBIERNO NACIONAL,115008,Sin Ejecución,EXPEDIENTE TÉCNICO,123,0,1,0,2.0,1.0,6.0,2412955.0,2412955.0,3.0,3.0,649178.0,649178.0,32180916.666666668,72424772.0,6.0,14.0,7.0,2.0,0.2857142857142857,14.0,14.0,2606576.47,3185815.6,2772073.3642857145,2606576.47,271551.4925865231,579239.1299999999,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
