IDENTIFICADOR_OBRA,obra_PROCESO_mean,obra_PROCESO_max,obra_PROCESO_min,obra_CODIGO_RUC_GANADOR_mean,obra_CODIGO_RUC_GANADOR_max,obra_CODIGO_RUC_GANADOR_min,obra_CONVOCATORIA_PROCESO_GANADO_mean,obra_CONVOCATORIA_PROCESO_GANADO_max,obra_CONVOCATORIA_PROCESO_GANADO_min,obra_TotalProcesosParticipantes_mean,obra_TotalProcesosParticipantes_max,obra_TotalProcesosParticipantes_min,obra_CODIGO_CONTRATO_mean,obra_CODIGO_CONTRATO_max,obra_CODIGO_CONTRATO_min,obra_CODIGO_RUC_PARTICIPANTE_mean,obra_CODIGO_RUC_PARTICIPANTE_max,obra_CODIGO_RUC_PARTICIPANTE_min,obra_n_ofertas_mean,obra_n_ofertas_max,obra_n_ofertas_min,obra_monto_ofertado_min_mean,obra_monto_ofertado_min_max,obra_monto_ofertado_min_min,obra_monto_ofertado_max_mean,obra_monto_ofertado_max_max,obra_monto_ofertado_max_min,obra_monto_ofertado_mean_mean,obra_monto_ofertado_mean_max,obra_monto_ofertado_mean_min,obra_monto_ofertado_median_mean,obra_monto_ofertado_median_max,obra_monto_ofertado_median_min,obra_monto_ofertado_std_mean,obra_monto_ofertado_std_max,obra_monto_ofertado_std_min,obra_monto_ofertado_rango_mean,obra_monto_ofertado_rango_max,obra_monto_ofertado_rango_min,obra_obra_2a3a_n_registros_mean,obra_obra_2a3a_n_registros_max,obra_obra_2a3a_n_registros_min,obra_obra_2a3a_nunique_CODIGO_RUC_mean,obra_obra_2a3a_nunique_CODIGO_RUC_max,obra_obra_2a3a_nunique_CODIGO_RUC_min,obra_obra_2a3a_nunique_MIEMBROS_DE_COMITE_mean,obra_obra_2a3a_nunique_MIEMBROS_DE_COMITE_max,obra_obra_2a3a_nunique_MIEMBROS_DE_COMITE_min,obra_obra_2a3a_nunique_TotalProcesosParticipantes_mean,obra_obra_2a3a_nunique_TotalProcesosParticipantes_max,obra_obra_2a3a_nunique_TotalProcesosParticipantes_min,obra_obra_2b_n_registros_mean,obra_obra_2b_n_registros_max,obra_obra_2b_n_registros_min,obra_obra_2b_nunique_DNI_MIEMBRO_COMITE_mean,obra_obra_2b_nunique_DNI_MIEMBRO_COMITE_max,obra_obra_2b_nunique_DNI_MIEMBRO_COMITE_min,obra_obra_2b_nunique_NOMBRE_MIEMBRO_COMITE_mean,obra_obra_2b_nunique_NOMBRE_MIEMBRO_COMITE_max,obra_obra_2b_nunique_NOMBRE_MIEMBRO_COMITE_min,obra_obra_5a_n_registros_mean,obra_obra_5a_n_registros_max,obra_obra_5a_n_registros_min,obra_CODIGO_UNICO_first,obra_CODIGO_UNICO_nunique,obra_SECTOR_first,obra_SECTOR_nunique,obra_DEPARTAMENTO_first,obra_DEPARTAMENTO_nunique,obra_NIVEL_GOBIERNO_first,obra_NIVEL_GOBIERNO_nunique,obra_OBJETO_PROCESO_first,obra_OBJETO_PROCESO_nunique,obra_CODIGO_OBRA_first,obra_CODIGO_OBRA_nunique,obra_NOMBREOBRA_first,obra_NOMBREOBRA_nunique,obra_METODO_CONTRATACION_first,obra_METODO_CONTRATACION_nunique,obra_RAZON_SOCIAL_first,obra_RAZON_SOCIAL_nunique,obra_NUMERO_CONTRATO_first,obra_NUMERO_CONTRATO_nunique,obra_NOMBRE_PARTICIPANTE_first,obra_NOMBRE_PARTICIPANTE_nunique,y_riesgo_obra_4niveles,func_n_registros,func_n_funcionarios,func_riesgo_max,func_riesgo_mean,func_riesgo_std,func_pct_riesgo_alto
2193247-280513-663558-2028340-133488,9.0,9,9,15512268651.5,20601425204,10423112099,663558.0,663558,663558,166.5,187,146,2028340.0,2028340,2028340,16653255261.333334,20602068413,10416449177,12.0,12,12,269908.17,269908.17,269908.17,269908.17,269908.17,269908.17,269908.17,269908.17,269908.17,269908.17,269908.17,269908.17,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,2,2.0,2,2,1.0,1,1,2.0,2,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2193247,1,OTROS,1,MULTIDEPARTAMENTAL,1,GOBIERNO LOCAL,1,Consultoría de Obra,1,133488,1,CONTRATACIÓN DEL SERVICIO DE CONSULTORIA DE OBRA PARA ELABORACION DE TRES EXPEDIENTES TECNICOS DE LAS U.P. 59 CASERIO PASHUL ALTO; UP  87A  ANEXO PAJONAL Y CHUSPIRCA DE LIMON DE PORCUYA; UP  28 ANEXO PAMPA GRANDE DEL CASERIO LA TIZA    PROYECTO HUARMACA ,1,Adjudicación Simplificada,1,CONSULTOR PERU,6,86-2020,1,CONSULTOR PERU,6,1,12.0,8.0,0.0,0.0,0.0,0.0
2193247-280513-679386-2040081-133488,11.0,11,11,10416449177.0,10416449177,10416449177,679386.0,679386,679386,67.0,67,67,2040081.0,2040081,2040081,15454945675.083334,20600329228,10166248154,12.0,12,12,90171.26,90171.26,90171.26,90171.27,90171.27,90171.27,90171.26916666667,90171.26916666667,90171.26916666667,90171.27,90171.27,90171.27,0.0028867513502670917,0.002886751350267092,0.002886751350267092,0.010000000009313226,0.010000000009313226,0.010000000009313226,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2193247,1,OTROS,1,MULTIDEPARTAMENTAL,1,GOBIERNO LOCAL,1,Consultoría de Obra,1,133488,1,CONTRATACIÓN DEL SERVICIO DE CONSULTORIA DE OBRA PARA ELABORACION DE TRES EXPEDIENTES TECNICOS DE LAS U.P. 59 CASERIO PASHUL ALTO; UP  87A  ANEXO PAJONAL Y CHUSPIRCA DE LIMON DE PORCUYA; UP  28 ANEXO PAMPA GRANDE DEL CASERIO LA TIZA    PROYECTO HUARMACA ,1,Adjudicación Simplificada,1,CONSORCIO SUPERVISOR SAN PEDRO,12,21-Feb,1,CONSORCIO SUPERVISOR SAN PEDRO,12,2,0.0,0.0,0.0,0.0,0.0,0.0
2193247-280513-691232-2052839-108912,2.0,2,2,10166135899.0,10166135899,10166135899,691232.0,691232,691232,99.0,99,99,2052839.0,2052839,2052839,13013115713.517857,20604451648,10004881597,56.0,56,56,408445.2,408445.2,408445.2,424140.23,424140.23,424140.23,408727.6360714286,408727.6360714286,408727.6360714286,408445.2,408445.2,408445.2,2097.0947301797883,2097.0947301797883,2097.0947301797883,15695.02999999997,15695.02999999997,15695.02999999997,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6,6,2193247,1,OTROS,1,MULTIDEPARTAMENTAL,1,GOBIERNO LOCAL,1,Consultoría de Obra,1,108912,1,INSTALACION; MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO DE 103 CASERIOS; DISTRITO DE HUARMACA - HUANCABAMBA - PIURA : UP 034 PALO BLANCO,1,Concurso Público,1,CONSORCIO PRINCE,52,17-2021,1,CONSORCIO PRINCE,52,3,12.0,8.0,0.0,0.0,0.0,0.0
2193247-280513-698718-2061957-108914,5.0,5,5,15350169500.5,20487876578,10166135899,698718.0,698718,698718,132.0,255,55,2061957.0,2061957,2061957,13827156778.906977,20601222788,10004999342,172.0,172,172,367965.56,367965.56,367965.56,440024.60000000003,440024.6,440024.6,394435.53860465117,394435.53860465117,394435.53860465117,396022.14,396022.14,396022.14,10789.489297123904,10789.489297123904,10789.489297123904,72059.03999999998,72059.03999999998,72059.03999999998,4.0,4,4,4.0,4,4,1.0,1,1,4.0,4,4,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2193247,1,OTROS,1,MULTIDEPARTAMENTAL,1,GOBIERNO LOCAL,1,Consultoría de Obra,1,108914,1,MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO DE 103 CASERÍOS; DISTRITO DE HUARMACA; HUANCABAMBA; PIURA : UP 74 TUNAS,1,Concurso Público,1,REYES ANAYA VICTOR RAUL(*),42,28-2021,1,REYES ANAYA VICTOR RAUL(*),42,2,12.0,8.0,0.0,0.0,0.0,0.0
2193247-280513-703764-2062192-108916,6.0,6,6,15326788559.5,20487876578,10165700541,703764.0,703764,703764,260.0,265,255,2062192.0,2062192,2062192,12594076713.264706,20600385420,10004881597,68.0,68,68,424855.55,424855.55,424855.55,472061.72,472061.72,472061.72,430762.1582352941,430762.1582352941,430762.1582352941,424855.55,424855.55,424855.55,15234.972763043103,15234.972763043103,15234.972763043103,47206.169999999984,47206.169999999984,47206.169999999984,2.0,2,2,2.0,2,2,1.0,1,1,2.0,2,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2193247,1,OTROS,1,MULTIDEPARTAMENTAL,1,GOBIERNO LOCAL,1,Consultoría de Obra,1,108916,1,INSTALACIÓN; MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO DE 103 CASERÍOS; DISTRITO DE HUARMACA; HUANCABAMBA; PIURA : UP 100 CEDRO,1,Concurso Público,1,CONSORCIO CENTAURO,32,32-2021,1,CONSORCIO CENTAURO,32,2,6.0,6.0,0.0,0.0,0.0,0.0
2193247-280513-705548-2065036-108912,2.0,2,2,20461118024.0,20482596348,20439639700,705548.0,705548,705548,47.5,65,30,2065036.0,2065036,2065036,20480858459.11111,20602267491,20144691173,54.0,54,54,5333037.92,5333037.92,5333037.92,5925597.66,5925597.66,5925597.66,5376931.234074074,5376931.234074074,5376931.234074074,5333037.92,5333037.92,5333037.92,156643.4804799104,156643.4804799104,156643.4804799104,592559.7400000002,592559.7400000002,592559.7400000002,2.0,2,2,2.0,2,2,1.0,1,1,2.0,2,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6,6,2193247,1,OTROS,1,MULTIDEPARTAMENTAL,1,GOBIERNO LOCAL,1,Obra,1,108912,1,INSTALACION; MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO DE 103 CASERIOS; DISTRITO DE HUARMACA - HUANCABAMBA - PIURA : UP 034 PALO BLANCO,1,Adjudicación Simplificada,1,CONSTRUCTORA VANESSA ORIETTA SRL,25,33-2021,1,CONSTRUCTORA VANESSA ORIETTA SRL,25,3,0.0,0.0,0.0,0.0,0.0,0.0
2193247-280513-707016-2061614-108916,2.0,2,2,20486485482.0,20486553198,20486417766,707016.0,707016,707016,43.0,57,29,2061614.0,2061614,2061614,19829308219.870968,20602267491,10178532681,62.0,62,62,3755768.18,3755768.18,3755768.18,4173075.72,4173075.72,4173075.72,3783981.5696774195,3783981.5696774195,3783981.5696774195,3755768.18,3755768.18,3755768.18,103133.73616240664,103133.73616240663,103133.73616240663,417307.5400000001,417307.54000000004,417307.54000000004,2.0,2,2,2.0,2,2,0.0,0,0,2.0,2,2,,,,,,,,,,1.0,1,1,2193247,1,OTROS,1,MULTIDEPARTAMENTAL,1,GOBIERNO LOCAL,1,Obra,1,108916,1,INSTALACIÓN; MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO DE 103 CASERÍOS; DISTRITO DE HUARMACA; HUANCABAMBA; PIURA : UP 100 CEDRO,1,Licitación Pública,1,CONSORCIO VIRGEN DEL ROSARIO,28,30-2021,1,CONSORCIO VIRGEN DEL ROSARIO,28,2,0.0,0.0,0.0,0.0,0.0,0.0
2193247-280513-708529-2062106-108914,3.0,3,3,20529605576.0,20601798736,20490858181,708529.0,708529,708529,88.66666666666667,140,41,2062106.0,2062106,2062106,20507716059.739132,20606709626,20144691173,69.0,69,69,3993507.45,3993507.45,3993507.45,4925817.75,4925817.75,4925817.75,4471193.158695652,4471193.158695652,4471193.158695652,4500284.6,4500284.6,4500284.6,221607.86122557786,221607.86122557786,221607.86122557786,932310.2999999998,932310.2999999998,932310.2999999998,3.0,3,3,3.0,3,3,1.0,1,1,3.0,3,3,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2193247,1,OTROS,1,MULTIDEPARTAMENTAL,1,GOBIERNO LOCAL,1,Obra,1,108914,1,MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO DE 103 CASERÍOS; DISTRITO DE HUARMACA; HUANCABAMBA; PIURA : UP 74 TUNAS,1,Adjudicación Simplificada,1,CONSTRUCTORA VANESSA ORIETTA SRL,22,31-2021,1,CONSTRUCTORA VANESSA ORIETTA SRL,22,1,0.0,0.0,0.0,0.0,0.0,0.0
2193247-280513-735026-2078047-108917,7.0,7,7,10416449177.0,10416449177,10416449177,735026.0,735026,735026,67.0,67,67,2078047.0,2078047,2078047,12683485100.076923,20571241723,10167815184,13.0,13,13,171289.98,171289.98,171289.98,171289.98,171289.98,171289.98,171289.98,171289.98,171289.98,171289.98,171289.98,171289.98,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5,5,2193247,1,OTROS,1,MULTIDEPARTAMENTAL,1,GOBIERNO LOCAL,1,Consultoría de Obra,1,108917,1,INSTALACIÓN; MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO DE 103 CASERÍOS; DISTRITO DE HUARMACA; HUANCABAMBA; PIURA : UP 101 SAN ISIDRO,1,Adjudicación Simplificada,1,GASTULO MORA DANNY WALTER(*),12,50-2021,1,GASTULO MORA DANNY WALTER(*),12,1,18.0,9.0,0.0,0.0,0.0,0.0
2193247-280513-843214-2161653-108917,5.0,5,5,20544302773.5,20600625498,20487980049,843214.0,843214,843214,16.5,24,9,2161653.0,2161653,2161653,20077096049.192307,20601989591,10414384752,52.0,52,52,0.0,0.0,0.0,6225019.11,6225019.11,6225019.11,957695.2430769231,957695.2430769231,957695.2430769231,0.0,0.0,0.0,2267907.0903051705,2267907.0903051705,2267907.0903051705,6225019.11,6225019.11,6225019.11,2.0,2,2,2.0,2,2,1.0,1,1,2.0,2,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5,5,2193247,1,OTROS,1,MULTIDEPARTAMENTAL,1,GOBIERNO LOCAL,1,Obra,1,108917,1,INSTALACIÓN; MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO DE 103 CASERÍOS; DISTRITO DE HUARMACA; HUANCABAMBA; PIURA : UP 101 SAN ISIDRO,1,Licitación Pública,1,SANCHEZ TERRONES JORGE LUIS(*),24,CONTRATO N° 069-2022/VIVIENDA/VMCS/PNSU,1,SANCHEZ TERRONES JORGE LUIS(*),24,2,0.0,0.0,0.0,0.0,0.0,0.0
2193247-280513-878659-2170813-108917,7.0,7,7,20605087966.0,20605087966,20605087966,878659.0,878659,878659,105.0,105,105,2170813.0,2170813,2170813,14525690214.878048,20605973125,10008219503,41.0,41,41,670312.95,670312.95,670312.95,670312.95,670312.95,670312.95,670312.95,670312.95,670312.95,670312.95,670312.95,670312.95,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5,5,2193247,1,OTROS,1,MULTIDEPARTAMENTAL,1,GOBIERNO LOCAL,1,Consultoría de Obra,1,108917,1,INSTALACIÓN; MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO DE 103 CASERÍOS; DISTRITO DE HUARMACA; HUANCABAMBA; PIURA : UP 101 SAN ISIDRO,1,Concurso Público,1,CONSORCIO SUPERVISOR HUARMACA,39,CONTRATO N° 08-2023/VIVIENDA/VMCS/PNSU,1,CONSORCIO SUPERVISOR HUARMACA,39,1,0.0,0.0,0.0,0.0,0.0,0.0
2193411-205868-739874-2096798-121881,4.0,4,4,20600977661.0,20600977661,20600977661,739874.0,739874,739874,45.0,45,45,2096798.0,2096798,2096798,20533082201.0,20604269009,20254813720,5.0,5,5,168571515.9,168571515.9,168571515.9,168571515.9,168571515.9,168571515.9,168571515.9,168571515.9,168571515.9,168571515.9,168571515.9,168571515.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,2,2,2193411,1,TRABAJO,1,MULTIDEPARTAMENTAL,1,GOBIERNO REGIONAL,1,Obra,1,121881,1,MEJORAMIENTO DE LA CARRETERA HUANCAVELICA - YAULI - PUCAPAMPA (RUTA HV - 112),1,Licitación Pública,1,CONSORCIO SAN MIGUEL,5,CONTRATAO N° 001-2022/ORA,1,CONSORCIO SAN MIGUEL,5,3,13.0,11.0,3.0,1.0,1.3540064007726602,0.23076923076923078
2193411-205868-770422-2110390-121881,107.0,107,107,20553498543.0,20570706170,20536290916,770422.0,770422,770422,128.5,229,28,2110390.0,2110390,2110390,20405558980.857143,20600366948,20100878489,14.0,14,14,6625297.89,6625297.89,6625297.89,6625297.89,6625297.89,6625297.89,6625297.89,6625297.89,6625297.89,6625297.89,6625297.89,6625297.89,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,2,2.0,2,2,1.0,1,1,2.0,2,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2,2,2193411,1,TRABAJO,1,MULTIDEPARTAMENTAL,1,GOBIERNO REGIONAL,1,Consultoría de Obra,1,121881,1,MEJORAMIENTO DE LA CARRETERA HUANCAVELICA - YAULI - PUCAPAMPA (RUTA HV - 112),1,Adjudicación Simplificada,1,CORPORACION PERUANA DE INGENIERIA SOCIEDAD ANONIMA - CORPEI S.A.(*),7,CONTRATO N° 023-2022/ORA,1,CORPORACION PERUANA DE INGENIERIA SOCIEDAD ANONIMA - CORPEI S.A.(*),7,3,0.0,0.0,0.0,0.0,0.0,0.0
2193999-202849-850228-2150802-64289,1.0,1,1,20606454229.0,20606454229,20606454229,850228.0,850228,850228,3.0,3,3,2150802.0,2150802,2150802,20606454229.0,20606454229,20606454229,1.0,1,1,29564513.65,29564513.65,29564513.65,29564513.65,29564513.65,29564513.65,29564513.65,29564513.65,29564513.65,29564513.65,29564513.65,29564513.65,,,,0.0,0.0,0.0,1.0,1,1,1.0,1,1,0.0,0,0,1.0,1,1,,,,,,,,,,1.0,1,1,2193999,1,AGRARIA,1,MULTIDEPARTAMENTAL,1,GOBIERNO NACIONAL,1,Obra,1,64289,1,ELABORACION EXPEDIENTE TECNICO Y CONSTRUCCION NUEVA BASE AERONAVAL DEL CALLAO,1,Contratación Directa,1,INGENIERIA PROYECTOS Y CONSTRUCCIONES IPC SUCURSAL  DEL PERU,1,CONTRATO  DIRCOMAT N° 174-2022,1,INGENIERIA PROYECTOS Y CONSTRUCCIONES IPC SUCURSAL  DEL PERU,1,3,0.0,0.0,0.0,0.0,0.0,0.0
2194709-231989-645029-2000154-59304,52.0,52,52,20100205816.0,20100205816,20100205816,645029.0,645029,645029,26.0,26,26,2000154.0,2000154,2000154,20100205816.0,20100205816,20100205816,1.0,1,1,1201000.0,1201000.0,1201000.0,1201000.0,1201000.0,1201000.0,1201000.0,1201000.0,1201000.0,1201000.0,1201000.0,1201000.0,,,,0.0,0.0,0.0,1.0,1,1,1.0,1,1,0.0,0,0,1.0,1,1,,,,,,,,,,1.0,1,1,2194709,1,TRABAJO,1,MULTIDEPARTAMENTAL,1,GOBIERNO REGIONAL,1,Consultoría de Obra,1,59304,1,Mejoramiento de la Carretera Viscachani; Callalli; Sibayo; Caylloma; Provincia de Caylloma; Región Arequipa SNIP 231989,1,Contratación Directa,1,CONSULTORA E INMOBILIARIA VOLCAN S A,1,63-2020-GRA,1,CONSULTORA E INMOBILIARIA VOLCAN S A,1,2,0.0,0.0,0.0,0.0,0.0,0.0
2194709-231989-669343-2022593-84300,91.0,91,91,10267683947.5,10296539967,10238827928,669343.0,669343,669343,31.5,39,24,2022593.0,2022593,2022593,10267683947.5,10296539967,10238827928,4.0,4,4,195524.82,195524.82,195524.82,195524.82,195524.82,195524.82,195524.82,195524.82,195524.82,195524.82,195524.82,195524.82,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,2,2.0,2,2,0.0,0,0,2.0,2,2,,,,,,,,,,1.0,1,1,2194709,1,TRABAJO,1,MULTIDEPARTAMENTAL,1,GOBIERNO REGIONAL,1,Consultoría de Obra,1,84300,1,MEJORAMIENTO DE LA CARRETERA VISCACHANI - CALLALI - SIBAYO - CAYLLOMA; PROVINCIA CAYLLOMA; REGIÓN AREQUIPA - SEGUNDA ETAPA TRAMO 01 KM. 0000 - KM. 0360) TRAMO 02 KM. 74.500 - KM. 98.500 ,1,Contratación Directa,1,CONSORCIO VIAL CAYLLOMA,2,N 094-2020-GRA,1,CONSORCIO VIAL CAYLLOMA,2,1,0.0,0.0,0.0,0.0,0.0,0.0
2194709-231989-709352-2073447-141104,1.0,1,1,20582244545.5,20601116082,20563373009,709352.0,709352,709352,80.0,100,60,2073447.0,2073447,2073447,31784090299.285713,99000030259,20514493121,14.0,14,14,189820194.4,189820194.4,189820194.4,201800474.5,201800474.5,201800474.5,191531662.9857143,191531662.9857143,191531662.9857143,189820194.4,189820194.4,189820194.4,4350477.219362488,4350477.219362488,4350477.219362488,11980280.099999994,11980280.099999994,11980280.099999994,2.0,2,2,2.0,2,2,0.0,0,0,2.0,2,2,,,,,,,,,,1.0,1,1,2194709,1,TRABAJO,1,MULTIDEPARTAMENTAL,1,GOBIERNO REGIONAL,1,Obra,1,141104,1,EJECUCION DE SALDO DE OBRA PARA EL MEJORAMIENTO DE LA CARRETERA VISCACHANI;CALLALLI SIBAYO CAYLLOMA;PROVINCIA DE CAYLLOMA;REGION AREQUIPA II ETAPA;TRAMO 01: KM 0;000 ;KM 11;000 ;KM 12;000 ; KM 22;000. KM 23;000 36;920 Y RAMAL 02 KM 0;000; KM 0;360  TRAMO 02 : KM 84;000 ;KM 98;500 ,1,Licitación Pública,1,CONSORCIO SANTA CRUZ,7,CONTRATO N° 125-2021-GRA,1,CONSORCIO SANTA CRUZ,7,3,11.0,11.0,3.0,0.6363636363636364,1.12006493318265,0.09090909090909091
2194709-231989-739211-2108440-141104,5.0,5,5,20601626510.0,20601626510,20601626510,739211.0,739211,739211,142.0,142,142,2108440.0,2108440,2108440,20423573870.615383,20604792798,20100153671,13.0,13,13,13287413.610000001,13287413.61,13287413.61,13287413.610000001,13287413.61,13287413.61,13287413.610000001,13287413.610000001,13287413.610000001,13287413.610000001,13287413.61,13287413.61,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,1.0,1,1,2194709,1,TRABAJO,1,MULTIDEPARTAMENTAL,1,GOBIERNO REGIONAL,1,Consultoría de Obra,1,141104,1,EJECUCION DE SALDO DE OBRA PARA EL MEJORAMIENTO DE LA CARRETERA VISCACHANI;CALLALLI SIBAYO CAYLLOMA;PROVINCIA DE CAYLLOMA;REGION AREQUIPA II ETAPA;TRAMO 01: KM 0;000 ;KM 11;000 ;KM 12;000 ; KM 22;000. KM 23;000 36;920 Y RAMAL 02 KM 0;000; KM 0;360  TRAMO 02 : KM 84;000 ;KM 98;500 ,1,Concurso Público,1,LAGESA INGENIEROS CONSULTORES S.A.,13,CONTRATO 26-2022-GRA,1,LAGESA INGENIEROS CONSULTORES S.A.,13,3,0.0,0.0,0.0,0.0,0.0,0.0
2194993-255906-747262-2084411-134953,1.0,1,1,20600509790.0,20600509790,20600509790,747262.0,747262,747262,14.0,14,14,2084411.0,2084411,2084411,20498728030.909092,20600509790,20407806299,11.0,11,11,886412.1,886412.1,886412.1,984902.33,984902.33,984902.33,910102.4009090909,910102.4009090909,910102.4009090909,886412.1,886412.1,886412.1,40832.193746733574,40832.193746733574,40832.193746733574,98490.22999999998,98490.22999999998,98490.22999999998,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2194993,1,ADMINISTRACION Y PLANEAMIENTO,1,MULTIDEPARTAMENTAL,1,GOBIERNO NACIONAL,1,Obra,1,134953,1,Acondicionamiento de infraestructura de las áreas de trabajo de la Estación Experimental Agraria Chincha,1,Adjudicación Simplificada,1,EMPRESA CONSTRUCTORA Y MULTISERVICIOS DJRR E.I.R.L.,11,CONTRATO 001-2021-INIA-PNIA,1,EMPRESA CONSTRUCTORA Y MULTISERVICIOS DJRR E.I.R.L.,11,2,12.0,10.0,0.0,0.0,0.0,0.0
2194993-255906-811767-2128027-134953,1.0,1,1,20600509790.0,20600509790,20600509790,811767.0,811767,811767,14.0,14,14,2128027.0,2128027,2128027,20533069225.0,20603194676,20447723965,12.0,12,12,476031.72,476031.72,476031.72,528924.13,528924.13,528924.13,483676.9283333333,483676.9283333333,483676.9283333333,476031.72,476031.72,476031.72,18104.610169023425,18104.610169023425,18104.610169023425,52892.41000000003,52892.41000000003,52892.41000000003,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2194993,1,ADMINISTRACION Y PLANEAMIENTO,1,MULTIDEPARTAMENTAL,1,GOBIERNO NACIONAL,1,Obra,1,134953,1,Acondicionamiento de infraestructura de las áreas de trabajo de la Estación Experimental Agraria Chincha,1,Adjudicación Simplificada,1,ALFARUS CONTRATISTAS GENERALES SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,12,001-2022-INIA-PNIA,1,ALFARUS CONTRATISTAS GENERALES SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,12,0,0.0,0.0,0.0,0.0,0.0,0.0
2195373-290489-650901-2060462-33536,8.0,8,8,15210225522.0,20138008801,10282442243,650901.0,650901,650901,311.5,388,235,2060462.0,2060462,2060462,13103539817.857143,20503563704,10076050134,14.0,14,14,736520.37,736520.37,736520.37,736520.37,736520.37,736520.37,736520.37,736520.37,736520.37,736520.37,736520.37,736520.37,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,2,2.0,2,2,1.0,1,1,2.0,2,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2195373,1,OTROS,1,MULTIDEPARTAMENTAL,1,GOBIERNO REGIONAL,1,Consultoría de Obra,1,33536,1,MEJORAMIENTO Y AMPLIACIÓN DE LA PRESTACIÓN DE SERVICIOS DEPORTIVOS EN EL ESTADIO CUNA DE LA LIBERTAD AMERICANA DEL COMPLEJO DEPORTIVO VENEZUELA; DISTRITO DE AYACUCHO;  HUAMANGA - AYACUCHO,1,Concurso Público,1,LA ROSA HERVAY MIGUEL ANGEL(*),7,179-2020-GRA-SEDECENTRAL-OAPF,1,LA ROSA HERVAY MIGUEL ANGEL(*),7,3,22.0,14.0,3.0,0.5,0.9636241116594315,0.045454545454545456
